RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
483839,2015218538,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,6/28/2015 10:31,6/28/2014 10:31,6/28/2015 10:31,6XX BLOCK OF NW 74 ST,J,J2,2900.3013,-122.364672,47.68252427,"(47.68252427, -122.364671996)",6,2014
481252,2015213067,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,6/24/2015 11:09,6/1/2014 0:00,6/24/2015 11:09,23XX BLOCK OF 43 AV E,C,C2,6300.1004,-122.2770802,47.63990076,"(47.639900761, -122.277080248)",6,2014
481375,2015210301,2316,0,THEFT-MAIL,2300,MAIL THEFT,6/22/2015 9:22,8/31/2014 9:00,,81XX BLOCK OF 11 AV SW,F,F3,11300.5013,-122.3493122,47.5292323,"(47.529232299, -122.349312181)",8,2014
481690,2015209327,2599,0,COUNTERFEIT,2500,COUNTERFEIT,6/21/2015 15:52,6/20/2014 13:38,,6XX BLOCK OF PINE ST,M,M2,8200.1002,-122.3348178,47.61236845,"(47.612368448, -122.334817763)",6,2014
478198,2015207880,2399,3,THEFT-OTH,2300,OTHER PROPERTY,6/20/2015 11:59,6/1/2014 11:59,11/1/2014 12:00,77XX BLOCK OF SUNNYSIDE AV N,J,J3,2700.2015,-122.3293785,47.68595988,"(47.685959879, -122.329378505)",6,2014
480485,2015904103,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,6/19/2015 14:55,6/19/2014 14:45,7/10/2014 14:45,35XX BLOCK OF S FERDINAND ST,R,R3,10300.4006,-122.2874779,47.5578548,"(47.557854802, -122.287477902)",6,2014
470170,2015185464,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,6/4/2015 11:13,6/1/2014 0:00,6/1/2015 18:15,24XX BLOCK OF WESTVIEW DR W,Q,Q2,5900.4035,-122.3707729,47.6400945,"(47.640094502, -122.370772861)",6,2014
465137,2015174988,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,5/27/2015 15:45,8/22/2014 11:00,3/15/2015 17:30,22XX BLOCK OF NW 59 ST,B,B1,4700.4002,-122.3861645,47.67164251,"(47.671642511, -122.386164453)",8,2014
461710,2015168191,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,5/22/2015 10:45,8/1/2014 0:00,,11XX BLOCK OF REPUBLICAN ST,D,D3,7300.1019,-122.3336469,47.62311893,"(47.62311893, -122.333646878)",8,2014
456091,2015157266,2606,1,FRAUD-CHECK,2600,FRAUD,5/13/2015 17:10,7/20/2014 12:00,,31XX BLOCK OF WESTERN AV,D,D1,8001.3006,-122.3563758,47.61802864,"(47.618028638, -122.356375788)",7,2014
456782,2015156712,2799,0,EMBEZZLE,2700,EMBEZZLE,5/13/2015 9:22,6/19/2014 12:00,3/27/2015 12:00,9XX BLOCK OF 12 AV,E,E2,8600.2008,-122.3167791,47.61097885,"(47.610978849, -122.316779125)",6,2014
481225,2015154110,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,5/11/2015 8:28,8/24/2014 10:00,,130XX BLOCK OF LAKE CITY WY NE,L,L3,100.3002,-122.292841,47.72379509,"(47.723795094, -122.292840975)",8,2014
478954,2015132500,2399,3,THEFT-OTH,2300,OTHER PROPERTY,4/23/2015 9:30,6/20/2014 0:00,4/22/2015 0:00,132XX BLOCK OF AURORA AV N,N,N2,600.1016,-122.3449968,47.72503555,"(47.725035551, -122.344996832)",6,2014
451902,2015132500,2399,3,THEFT-OTH,2300,OTHER PROPERTY,4/23/2015 9:30,6/20/2014 0:00,4/22/2015 0:00,132XX BLOCK OF AURORA AV N,N,N2,600.1016,-122.3449968,47.72503555,"(47.725035551, -122.344996832)",6,2014
405914,2015131123,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,4/22/2015 9:34,7/2/2014 10:00,4/19/2015 10:00,24XX BLOCK OF 32 AV W,Q,Q1,5700.3013,-122.3983339,47.63979739,"(47.639797389, -122.398333891)",7,2014
410647,2015130488,2699,1,FRAUD-OTHER,2600,FRAUD,4/21/2015 16:13,7/1/2014 16:13,,88XX BLOCK OF 10 AV SW,F,F3,11300.3001,-122.3480055,47.52373593,"(47.523735934, -122.348005459)",7,2014
372869,2015902549,2305,0,THEFT-CARPROWL,2300,CAR PROWL,4/10/2015 13:45,8/1/2014 17:30,8/3/2014 16:30,21XX BLOCK OF N 59 ST,B,B3,4600.2002,-122.3327,47.67160003,"(47.671600027, -122.332699994)",8,2014
451059,2015115270,2399,3,THEFT-OTH,2300,OTHER PROPERTY,4/8/2015 23:37,6/1/2014 0:01,4/8/2015 22:30,48XX BLOCK OF S HOLDEN ST,S,S2,11102.3002,-122.2713149,47.53366162,"(47.533661622, -122.271314896)",6,2014
287365,2015112258,2316,0,THEFT-MAIL,2300,MAIL THEFT,4/6/2015 15:44,6/30/2014 19:00,4/6/2015 12:00,92XX BLOCK OF FREMONT AV N,J,J1,1701.201,-122.3499816,47.69644527,"(47.69644527, -122.349981568)",6,2014
287595,2015112158,5309,0,HARASSMENT,5300,THREATS,4/6/2015 12:30,7/16/2014 12:00,4/6/2015 12:30,11XX BLOCK OF PIKE ST,E,E3,8300.2015,-122.3283588,47.61369803,"(47.613698028, -122.32835884)",7,2014
218400,201595729,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,3/24/2015 10:25,6/1/2014 0:00,3/24/2015 9:00,58XX BLOCK OF NE 70 ST,U,U3,4000.1027,-122.2646309,47.67936955,"(47.679369548, -122.264630853)",6,2014
195857,201588900,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,3/18/2015 15:22,8/1/2014 0:00,3/14/2015 0:00,17XX BLOCK OF 16 AV,C,C1,7900.5006,-122.3114503,47.61702956,"(47.617029556, -122.311450328)",8,2014
200727,201588472,2304,1,THEFT-AUTOACC,2300,OTHER PROPERTY,3/18/2015 8:44,7/1/2014 0:00,3/18/2015 8:20,37XX BLOCK OF SW MYRTLE ST,W,W3,10600.1024,-122.3798209,47.53967895,"(47.539678951, -122.379820912)",7,2014
479893,201582784,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,3/13/2015 12:32,6/1/2014 0:01,9/30/2014 23:59,11XX BLOCK OF 23 AV S,G,G3,8900.4015,-122.3026198,47.5924811,"(47.592481104, -122.302619777)",6,2014
183148,201581251,2903,0,PROPERTY DAMAGE-NON RESIDENTIA,2900,PROPERTY DAMAGE,3/12/2015 8:55,6/21/2014 10:00,6/21/2014 15:00,LEARY WY NW / 8 AV NW,B,B2,4800.3003,-122.3661911,47.66048091,"(47.660480914, -122.366191082)",6,2014
