RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
483839,2015218538,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,06/28/2015 10:31:00 AM,06/28/2014 10:31:00 AM,06/28/2015 10:31:00 AM,6XX BLOCK OF NW 74 ST,J,J2,2900.3013,-122.364671996,47.68252427,"(47.68252427, -122.364671996)",6,2014
481252,2015213067,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,06/24/2015 11:09:00 AM,06/01/2014 12:00:00 AM,06/24/2015 11:09:00 AM,23XX BLOCK OF 43 AV E,C,C2,6300.1004,-122.277080248,47.639900761,"(47.639900761, -122.277080248)",6,2014
481375,2015210301,2316,0,THEFT-MAIL,2300,MAIL THEFT,06/22/2015 09:22:00 AM,08/31/2014 09:00:00 AM,,81XX BLOCK OF 11 AV SW,F,F3,11300.5013,-122.349312181,47.529232299,"(47.529232299, -122.349312181)",8,2014
481690,2015209327,2599,0,COUNTERFEIT,2500,COUNTERFEIT,06/21/2015 03:52:00 PM,06/20/2014 01:38:00 PM,,6XX BLOCK OF PINE ST,M,M2,8200.1002,-122.334817763,47.612368448,"(47.612368448, -122.334817763)",6,2014
478198,2015207880,2399,3,THEFT-OTH,2300,OTHER PROPERTY,06/20/2015 11:59:00 AM,06/01/2014 11:59:00 AM,11/01/2014 12:00:00 PM,77XX BLOCK OF SUNNYSIDE AV N,J,J3,2700.2015,-122.329378505,47.685959879,"(47.685959879, -122.329378505)",6,2014
480485,2015904103,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,06/19/2015 02:55:00 PM,06/19/2014 02:45:00 PM,07/10/2014 02:45:00 PM,35XX BLOCK OF S FERDINAND ST,R,R3,10300.4006,-122.287477902,47.557854802,"(47.557854802, -122.287477902)",6,2014
470170,2015185464,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,06/04/2015 11:13:00 AM,06/01/2014 12:00:00 AM,06/01/2015 06:15:00 PM,24XX BLOCK OF WESTVIEW DR W,Q,Q2,5900.4035,-122.370772861,47.640094502,"(47.640094502, -122.370772861)",6,2014
465137,2015174988,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,05/27/2015 03:45:00 PM,08/22/2014 11:00:00 AM,03/15/2015 05:30:00 PM,22XX BLOCK OF NW 59 ST,B,B1,4700.4002,-122.386164453,47.671642511,"(47.671642511, -122.386164453)",8,2014
461710,2015168191,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,05/22/2015 10:45:00 AM,08/01/2014 12:00:00 AM,,11XX BLOCK OF REPUBLICAN ST,D,D3,7300.1019,-122.333646878,47.62311893,"(47.62311893, -122.333646878)",8,2014
456091,2015157266,2606,1,FRAUD-CHECK,2600,FRAUD,05/13/2015 05:10:00 PM,07/20/2014 12:00:00 PM,,31XX BLOCK OF WESTERN AV,D,D1,8001.3006,-122.356375788,47.618028638,"(47.618028638, -122.356375788)",7,2014
456782,2015156712,2799,0,EMBEZZLE,2700,EMBEZZLE,05/13/2015 09:22:00 AM,06/19/2014 12:00:00 PM,03/27/2015 12:00:00 PM,9XX BLOCK OF 12 AV,E,E2,8600.2008,-122.316779125,47.610978849,"(47.610978849, -122.316779125)",6,2014
481225,2015154110,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,05/11/2015 08:28:00 AM,08/24/2014 10:00:00 AM,,130XX BLOCK OF LAKE CITY WY NE,L,L3,100.3002,-122.292840975,47.723795094,"(47.723795094, -122.292840975)",8,2014
478954,2015132500,2399,3,THEFT-OTH,2300,OTHER PROPERTY,04/23/2015 09:30:00 AM,06/20/2014 12:00:00 AM,04/22/2015 12:00:00 AM,132XX BLOCK OF AURORA AV N,N,N2,600.1016,-122.344996832,47.725035551,"(47.725035551, -122.344996832)",6,2014
451902,2015132500,2399,3,THEFT-OTH,2300,OTHER PROPERTY,04/23/2015 09:30:00 AM,06/20/2014 12:00:00 AM,04/22/2015 12:00:00 AM,132XX BLOCK OF AURORA AV N,N,N2,600.1016,-122.344996832,47.725035551,"(47.725035551, -122.344996832)",6,2014
405914,2015131123,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,04/22/2015 09:34:00 AM,07/02/2014 10:00:00 AM,04/19/2015 10:00:00 AM,24XX BLOCK OF 32 AV W,Q,Q1,5700.3013,-122.398333891,47.639797389,"(47.639797389, -122.398333891)",7,2014
410647,2015130488,2699,1,FRAUD-OTHER,2600,FRAUD,04/21/2015 04:13:00 PM,07/01/2014 04:13:00 PM,,88XX BLOCK OF 10 AV SW,F,F3,11300.3001,-122.348005459,47.523735934,"(47.523735934, -122.348005459)",7,2014
372869,2015902549,2305,0,THEFT-CARPROWL,2300,CAR PROWL,04/10/2015 01:45:00 PM,08/01/2014 05:30:00 PM,08/03/2014 04:30:00 PM,21XX BLOCK OF N 59 ST,B,B3,4600.2002,-122.332699994,47.671600027,"(47.671600027, -122.332699994)",8,2014
451059,2015115270,2399,3,THEFT-OTH,2300,OTHER PROPERTY,04/08/2015 11:37:00 PM,06/01/2014 12:01:00 AM,04/08/2015 10:30:00 PM,48XX BLOCK OF S HOLDEN ST,S,S2,11102.3002,-122.271314896,47.533661622,"(47.533661622, -122.271314896)",6,2014
287365,2015112258,2316,0,THEFT-MAIL,2300,MAIL THEFT,04/06/2015 03:44:00 PM,06/30/2014 07:00:00 PM,04/06/2015 12:00:00 PM,92XX BLOCK OF FREMONT AV N,J,J1,1701.2010,-122.349981568,47.69644527,"(47.69644527, -122.349981568)",6,2014
287595,2015112158,5309,0,HARASSMENT,5300,THREATS,04/06/2015 12:30:00 PM,07/16/2014 12:00:00 PM,04/06/2015 12:30:00 PM,11XX BLOCK OF PIKE ST,E,E3,8300.2015,-122.32835884,47.613698028,"(47.613698028, -122.32835884)",7,2014
218400,201595729,2202,0,BURGLARY-FORCE-RES,2200,BURGLARY,03/24/2015 10:25:00 AM,06/01/2014 12:00:00 AM,03/24/2015 09:00:00 AM,58XX BLOCK OF NE 70 ST,U,U3,4000.1027,-122.264630853,47.679369548,"(47.679369548, -122.264630853)",6,2014
195857,201588900,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,03/18/2015 03:22:00 PM,08/01/2014 12:00:00 AM,03/14/2015 12:00:00 AM,17XX BLOCK OF 16 AV,C,C1,7900.5006,-122.311450328,47.617029556,"(47.617029556, -122.311450328)",8,2014
200727,201588472,2304,1,THEFT-AUTOACC,2300,OTHER PROPERTY,03/18/2015 08:44:00 AM,07/01/2014 12:00:00 AM,03/18/2015 08:20:00 AM,37XX BLOCK OF SW MYRTLE ST,W,W3,10600.1024,-122.379820912,47.539678951,"(47.539678951, -122.379820912)",7,2014
479893,201582784,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,03/13/2015 12:32:00 PM,06/01/2014 12:01:00 AM,09/30/2014 11:59:00 PM,11XX BLOCK OF 23 AV S,G,G3,8900.4015,-122.302619777,47.592481104,"(47.592481104, -122.302619777)",6,2014
183148,201581251,2903,0,PROPERTY DAMAGE-NON RESIDENTIA,2900,PROPERTY DAMAGE,03/12/2015 08:55:00 AM,06/21/2014 10:00:00 AM,06/21/2014 03:00:00 PM,LEARY WY NW / 8 AV NW,B,B2,4800.3003,-122.366191082,47.660480914,"(47.660480914, -122.366191082)",6,2014
133483,201577192,2304,2,THEFT-LICENSE PLATE,2300,OTHER PROPERTY,03/08/2015 09:42:00 PM,06/01/2014 07:00:00 PM,03/08/2015 09:42:00 PM,23XX BLOCK OF MINOR AV E,D,D3,6100.4007,-122.328354324,47.64087933,"(47.64087933, -122.328354324)",6,2014
171781,2015901516,2305,0,THEFT-CARPROWL,2300,CAR PROWL,03/06/2015 04:10:00 PM,08/24/2014 10:00:00 PM,08/25/2014 07:00:00 AM,30XX BLOCK OF 11 AV W,Q,Q2,5900.2014,-122.371535475,47.647657953,"(47.647657953, -122.371535475)",8,2014
87112,2015245985,2305,0,THEFT-CARPROWL,2300,CAR PROWL,03/02/2015 05:24:00 AM,07/26/2014 08:00:00 PM,,10XX BLOCK OF W PROSPECT ST,Q,Q2,7100.1004,-122.370627019,47.628802746,"(47.628802746, -122.370627019)",7,2014
475204,201564923,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,02/26/2015 11:31:00 AM,06/20/2014 08:00:00 AM,06/20/2014 08:00:00 AM,57XX BLOCK OF S EDDY ST,R,R3,10200.2032,-122.259703689,47.544931023,"(47.544931023, -122.259703689)",6,2014
196118,201563859,2610,0,FRAUD-IDENTITY THEFT,2600,FRAUD,02/25/2015 01:58:00 PM,07/16/2014 12:00:00 AM,02/23/2015 03:00:00 PM,2XX BLOCK OF 6 AV S,K,K3,9200.1008,-122.326355499,47.600451491,"(47.600451491, -122.326355499)",7,2014
